titel;Auteur_voornaam;Auteur_achternaam;Genre;paginas;reeks_nr;Uitgeverij;ISBN;Serie;Staat;Taal;Gesigneerd;Prijs;Gelezen;Bindwijze;Edition;Land
Red Rising;Pierce;Brown;Dystopian;382;1;Del Ray;978-0-345-53980-9;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;België
Gates of Thread and Stone;Lori ;Lori ;Dystopian;336;1;Skyscape;978-1-477-84764-0;Duologie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;Antwerpen
The Infinete;Lori ;Lori ;Dystopian;364;2;Skyscape;978-1-477-82825-0;Duologie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;Gent
Shater Me;Tahereh;Mafi;Dystopian;329;1;Electric Monkey;978-1-4052-9175-0;Serie;Geschreven;ENG;Neen;;ja;Paperback;Normal;Nederland
Unreval Me;Tahereh;Mafi;Dystopian;474;2;Electric Monkey;978-1-4052-9176-7;Serie;Geschreven;ENG;Neen;;ja;Paperback;Normal;Nederland
Ignite Me;Tahereh;Mafi;Dystopian;410;3;Electric Monkey;978-1-4052-9177-4;Serie;Geschreven;ENG;Neen;;ja;Paperback;Normal;Kortrijk
Restore Me;Tahereh;Mafi;Dystopian;335;4;Electric Monkey;978-1-4052-9178-1;Serie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;Oostnieuwkerke
Defy Me;Tahereh;Mafi;Dystopian;363;5;Electric Monkey;978-1-4052-9179-8;Serie;Gedeukt;ENG;Neen;;neen;Paperback;Normal;Londen
Imagine Me;Tahereh;Mafi;Dystopian;450;6;Electric Monkey;978-1-4052-9704-2;Serie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;
Legend;Marie ;Lu;Dystopian;295;1;Penguin Books;978-0-141-33960-3;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;Peebles
Prodigy;Marie ;Lu;Dystopian;365;2;Penguin Books;978-0-141-33957-3;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;Waterstones Edinburgh
Champion;Marie ;Lu;Dystopian;353;3;Penguin Books;978-0-141-33962-7;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;
Scythe;Neal;Shusterman;Dystopian;441;1;Walker Books;978-1-4063-7924-2;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;
Thunder Head;Neal;Shusterman;Dystopian;515;2;Walker Books;978-1-4063-7953-2;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;
The Toll;Neal;Shusterman;Dystopian;631;3;Walker Books;978-1-4063-8567-0;Trilogie;Uitstekend;ENG;Neen;;neen;Paperback;Normal;
The Hunger Games;Suzanne;Collins;Dystopian;374;1;Scholastic Press;978-0-439-02348-1;Serie;Uitstekend;ENG;Neen;;ja;Hardcover;Normal;
Catching Fire;Suzanne;Collins;Dystopian;389;2;Scholastic Press;978-0-439-02349-8;Serie;Uitstekend;ENG;Neen;;ja;Hardcover;Normal;
mockingjay;Suzanne;Collins;Dystopian;390;3;Scholastic Press;978-0-439-02351-1;Serie;Uitstekend;ENG;Neen;;ja;Hardcover;Normal;
The Ballad Of Songbirds And Snakes;Suzanne;Collins;Dystopian;517;4;Scholastic Press;978-1-338-63517-1;Serie;Uitstekend;ENG;Neen;;ja;Hardcover;Normal;
Sunrise On The Reaping;Suzanne;Collins;Dystopian;382;5;Scholastic Press;978-0-702-34057-4;Serie;Uitstekend;ENG;Neen;;ja;Hardcover;Normal;
